instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,2proc-2pils_objective,2proc-2pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,4proc-4pils_objective,4proc-4pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,8proc-8pils_objective,8proc-8pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,16proc-16pils_objective,16proc-16pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time,24proc-2pils_objective,24proc-2pils_tuning_time,24proc-3pils_objective,24proc-3pils_tuning_time,24proc-4pils_objective,24proc-4pils_tuning_time,24proc-6pils_objective,24proc-6pils_tuning_time,24proc-8pils_objective,24proc-8pils_tuning_time,24proc-12pils_objective,24proc-12pils_tuning_time,24proc-24pils_objective,24proc-24pils_tuning_time
neos-1456979.mps,5,3.95,4082,7.4,3527,5.56,2292,3.84,3392,5.45,1239,3.31,3179,6,700,3.75,2468,6.08,336,,,3.08,1849,2.97,1330,3.98,1068,5.74,572,3.8,545,3.94,388,5.71,254
neos-1456979.mps,6,3.31,5191,5.02,3819,4.45,2211,3.77,3090,3.93,1370,,,1.91,759,2.11,3723,5.02,387,3.11,3761,3.95,1457,,,4.08,641,3.23,754,5.06,530,4.47,453,5.08,268
neos-1456979.mps,7,2.88,4746,6.18,3276,3.58,2567,5.19,2991,5.09,1078,3.78,2574,4.56,689,3.78,2390,3.25,345,,,3.41,1362,4.21,992,,,3.67,623,,,3.69,407,3.65,299
neos-1456979.mps,8,6.89,4678,4.48,3424,3.28,2241,4.45,3292,4.11,1148,4.38,2572,4.95,687,2.84,3003,5,367,2.88,2674,4,1456,,,3.88,841,3.98,566,3.93,460,5.19,463,3.81,296
neos-1456979.mps,9,5.15,4196,5.21,3103,3.79,2281,,,5.93,1208,4.05,2459,4.52,668,4.28,2896,6.35,295,4.08,2362,3.77,1420,4.05,1062,,,3.78,525,4.52,556,3.95,369,5.86,264
neos-1456979.mps,10,6.29,5089,1.7,4493,7.18,2352,3.58,2997,4.46,1161,4.38,2978,4.23,544,4.49,2999,6.04,368,2.85,2873,3.77,1245,4.27,1091,4.24,775,2.98,732,,,4.44,392,4.49,316
neos-3024952-loue.mps,1,3.72,4475,1.19,3896,4.66,2523,2.66,3869,3.16,1381,0.98,3471,3.53,606,0,2090,4.48,388,0,1488,0,687,,,1.17,894,1.36,604,0,327,2.67,363,1.93,264
neos-3024952-loue.mps,2,3.76,4613,8.32,3532,4.86,2752,2.63,3021,5.13,1260,0,1639,3.78,628,0,1987,3.8,399,2.63,2882,0,832,,,2.75,1123,,,1.51,583,,,3.76,298
neos-3024952-loue.mps,3,5.13,4702,5.97,4612,4.44,2218,1.31,2784,3.08,1289,0,1552,1.41,675,0,1330,3.21,368,0,1465,,,0.92,1131,0,772,0,707,,,,,0,179
neos-3024952-loue.mps,4,3.24,4432,1.2,3599,1.15,2502,1.74,2877,4.16,1298,2.55,2448,3.02,700,0,1646,0,214,,,0.93,1782,,,,,2.59,545,1.8,573,0.75,375,0,197
neos-3024952-loue.mps,5,0,2536,1.96,4357,5.27,2238,2.8,3371,3.95,1127,1.51,2875,4.52,678,0,1491,3.95,428,,,0,1143,1.2,1176,1.3,1078,,,2.52,500,1.86,432,3.17,276
neos-3024952-loue.mps,6,4.33,4130,1.18,3590,3.68,2351,2.59,4097,1.15,1303,,,2.26,798,0,1681,3.74,387,0,2096,2.43,1731,0.88,1351,0.85,1098,1.58,656,1.78,545,1.59,412,4.59,287
neos-3024952-loue.mps,7,2.42,4685,5.75,4389,4.3,2200,3.62,3269,2.06,1292,1.2,4223,4.29,698,1.73,2874,3.62,408,,,0,996,1.66,1290,1.89,891,1.34,584,,,0,256,3.01,268
neos-3024952-loue.mps,8,2.38,5268,4.56,3808,1.07,2249,0,3510,3.16,1096,2.23,3180,2.22,645,0,2027,2.5,436,0,1968,0,905,1.88,1023,0.56,962,,,3.01,408,2.14,418,2.15,305
neos-3024952-loue.mps,9,2.48,4885,3.01,3975,4.9,2281,2.45,3216,1.5,1229,2.1,2774,3.85,714,1.41,3004,4.54,416,1.03,3415,1.66,2004,1.45,1485,0,481,,,1.57,513,2.84,440,3.85,286
neos-3024952-loue.mps,10,6.65,3901,4.42,4479,2.4,2793,0,1707,1.43,1422,0.6,3310,3.21,758,0,1682,3.97,407,1.35,2579,0,1128,,,0,435,3.23,686,,,3.46,410,2.93,338
neos-4387871-tavua.mps,1,0,2351,18.5,4438,0,1002,0,1738,19.94,1310,0,1719,20,702,0,1276,18.04,392,0,1375,0,661,0,720,0,434,0,367,18.54,593,20,372,0,111
